"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SF","Giannis Antetokounmpo",10800,"CLE@MIL 10/20/2017 07:00PM ET",48.626,"MIL"
"PF/C","Anthony Davis",10600,"GS@NO 10/20/2017 09:30PM ET",53.062,"NO"
"SF/PF","LeBron James",10500,"CLE@MIL 10/20/2017 07:00PM ET",55.565,"CLE"
"PF/C","DeMarcus Cousins",10400,"GS@NO 10/20/2017 09:30PM ET",52.392,"NO"
"PG","John Wall",9800,"DET@WAS 10/20/2017 07:00PM ET",49.380,"WAS"
"SF/PF","Kevin Durant",9600,"GS@NO 10/20/2017 09:30PM ET",48.418,"GS"
"PG","Damian Lillard",9300,"POR@IND 10/20/2017 07:00PM ET",44.241,"POR"
"C","Karl-Anthony Towns",9100,"UTA@MIN 10/20/2017 08:00PM ET",48.684,"MIN"
"PG/SG","Stephen Curry",8800,"GS@NO 10/20/2017 09:30PM ET",46.283,"GS"
"PG","Kyrie Irving",8600,"BOS@PHI 10/20/2017 07:00PM ET",41.022,"BOS"
"C","Rudy Gobert",8200,"UTA@MIN 10/20/2017 08:00PM ET",37.694,"UTA"
"C","Joel Embiid",8000,"BOS@PHI 10/20/2017 07:00PM ET",38.992,"PHI"
"C","Myles Turner",7900,"POR@IND 10/20/2017 07:00PM ET",31.265,"IND"
"PG","Kemba Walker",7800,"ATL@CHA 10/20/2017 07:00PM ET",39.009,"CHA"
"SG","Jimmy Butler",7700,"UTA@MIN 10/20/2017 08:00PM ET",43.565,"MIN"
"C","Nikola Vucevic",7600,"ORL@BKN 10/20/2017 07:30PM ET",35.625,"ORL"
"PG","Dennis Schroder",7600,"ATL@CHA 10/20/2017 07:00PM ET",33.299,"ATL"
"C","Andre Drummond",7600,"DET@WAS 10/20/2017 07:00PM ET",37.787,"DET"
"PG/SF","Ben Simmons",7500,"BOS@PHI 10/20/2017 07:00PM ET",29.750,"PHI"
"PF/C","Kevin Love",7500,"CLE@MIL 10/20/2017 07:00PM ET",38.962,"CLE"
"PG/SG","Eric Bledsoe",7400,"LAL@PHO 10/20/2017 10:00PM ET",39.347,"PHO"
"PG","D'Angelo Russell",7300,"ORL@BKN 10/20/2017 07:30PM ET",30.270,"BKN"
"PG","Elfrid Payton",7300,"ORL@BKN 10/20/2017 07:30PM ET",30.922,"ORL"
"PF/C","Draymond Green",7300,"GS@NO 10/20/2017 09:30PM ET",37.782,"GS"
"PG/SG","C.J. McCollum",7200,"POR@IND 10/20/2017 07:00PM ET",35.488,"POR"
"PG","Ricky Rubio",7100,"UTA@MIN 10/20/2017 08:00PM ET",33.190,"UTA"
"SG","Bradley Beal",7100,"DET@WAS 10/20/2017 07:00PM ET",35.675,"WAS"
"SG/SF","Devin Booker",7000,"LAL@PHO 10/20/2017 10:00PM ET",33.009,"PHO"
"C","Jusuf Nurkic",7000,"POR@IND 10/20/2017 07:00PM ET",24.974,"POR"
"SF/PF","Aaron Gordon",7000,"ORL@BKN 10/20/2017 07:30PM ET",24.481,"ORL"
"PG/SG","Victor Oladipo",6900,"POR@IND 10/20/2017 07:00PM ET",28.075,"IND"
"PG","Lonzo Ball",6800,"LAL@PHO 10/20/2017 10:00PM ET",24.500,"LAL"
